"Name" "Nationality"
"Kostakis Artymatas" "CYP"
"George Efrem" "CYP"
"Tiago Gomes" "POR"
"Constantinos Charalambides" "CYP"
"Nektarios Alexandrou" "CYP"
"Vinicius" "BRA"
"Gustavo Manduca" "BRA"
"Nuno Morais" "POR"
"Vasilios Papafotis" "CYP"
"Stathis Aloneftis" "CYP"
"Cillian Sheridan" "IRL"
"Pieros Sotiriou" "CYP"
"Tomás De Vincenti" "ARG"
"Rafik Djebbour" "ALG"
"Giorgos Donis" "GRE"
"Marc-André ter Stegen" "GER"
"Claudio Bravo" "CHI"
"Jordi Masip" "ESP"
"Fabrice Ondoa" "CMR"
"Martín Montoya" "ESP"
"Gerard Piqué" "ESP"
"Javier Mascherano" "ARG"
"Marc Bartra" "ESP"
"Douglas" "BRA"
"Jordi Alba" "ESP"
"Adriano" "BRA"
"Daniel Alves" "BRA"
"Thomas Vermaelen" "BEL"
"Jérémy Mathieu" "FRA"
"Alejandro Grimaldo" "ESP"
"Edgar Ié" "POR"
"Diawandou Diagné" "SEN"
"Ivan Rakitic" "CRO"
"Sergio Busquets" "ESP"
"Xavi Hernández" "ESP"
"Andrés Iniesta" "ESP"
"Rafinha" "ESP"
"Sergi Roberto" "ESP"
"Sergi Samper" "ESP"
"Alen Halilovic" "CRO"
"Pedro Rodríguez" "ESP"
"Luis Suárez" "URU"
"Lionel Messi" "ARG"
"Neymar" "BRA"
"Adama Traoré	" "ESP"
"Sandro Ramírez" "ESP"
"Munir El Haddadi" "ESP"
"Luis Enrique" "ESP"
"Nicolas Douchez" "FRA"
"Mike Maignan" "FRA"
"Salvatore Sirigu" "ITA"
"Mory Diaw" "FRA"
"Thiago Silva" "BRA"
"Marquinhos" "BRA"
"Zoumana Camara" "FRA"
"Maxwell" "BRA"
"Serge Aurier" "CIV"
"Lucas Digne" "FRA"
"Gregory van der Wiel" "NED"
"David Luiz" "BRA"
"Presnel Kimpembe" "FRA"
"Yohan Cabaye" "FRA"
"Lucas" "BRA"
"Thiago Motta" "ITA"
"Blaise Matuidi" "FRA"
"Clément Chantôme" "FRA"
"Marco Verratti" "ITA"
"Adrien Rabiot" "FRA"
"Javier Pastore" "ARG"
"Edinson Cavani" "URU"
"Zlatan Ibrahimovic" "SWE"
"Jean-Christophe Bahebeck" "FRA"
"Ezequiel Lavezzi" "ARG"
"Jean-Kévin Augustin" "FRA"
"Laurent Blanc" "FRA"
"Petr Cech" "CZE"
"Thibaut Courtois" "BEL"
"Mitchell Beeney" "ENG"
"Jamal Blackman" "ENG"
"Branislav Ivanovic" "SRB"
"Filipe Luís" "BRA"
